description,label,count_of_important_words,description_length,count_of_characters,average_length_of_words,number_of_punctuation,number_of_nouns,number_of_noun_phrases,number_of_verbs,number_of_adj,count_of_sentences,number_of_characters_in_largest_sentence,number_of_characters_in_smallest_sentence,number_of_nouns_in_largest_sentence,number_of_verbs_in_largest_sentence,number_of_adjectives_in_largest_sentence,count_of_stopwords,count_title_case_words,automated_readability_index,count_of_adverbs,lexical_density
"Raw black-cherry aromas are direct and simple but good. This has a juicy feel that thickens over time, with oak character and extract becoming more apparent. A flavor profile driven by dark-berry fruits and smoldering oak finishes meaty but hot.",wine_taster,6,42,245,5.833333333333333,6,13,6,7,10,3,19,12,4,4,3,15,2,13.044999999999995,1,73.80952380952381
"Desiccated blackberry, leather, charred wood and mint aromas carry the nose on this full-bodied, tannic, heavily oaked Tinto Fino. Flavors of clove and woodspice sit on top of blackberry fruit, then hickory and other forceful oak-based aromas rise up and dominate the finish.",wine_taster,6,45,275,6.111111111111111,9,16,4,7,6,2,28,26,10,4,2,14,4,18.60333333333333,2,68.88888888888889
"Red fruit aromas pervade on the nose, with cigar box and menthol notes riding in the back. The palate is slightly restrained on entry, but opens up to riper notes of cherry and plum specked with crushed pepper. This blend of Merlot, Cabernet Sauvignon and Cabernet Franc is approachable now and ready to be enjoyed.",wine_taster,6,55,315,5.7272727272727275,6,16,10,9,4,3,23,19,7,4,1,23,8,14.712121212121211,2,56.36363636363636
"Ripe aromas of dark berries mingle with ample notes of black pepper, toasted vanilla and dusty tobacco. The palate is oak-driven in nature, but notes of tart red currant shine through, offering a bit of levity.",wine_taster,8,37,210,5.675675675675675,6,13,8,6,7,2,24,19,7,4,2,11,2,14.552432432432433,1,72.97297297297297
"A sleek mix of tart berry, stem and herb, along with a hint of oak and chocolate, this is a fair value in a widely available, drink-now Oregon Pinot. The wine oak-aged for six months, whether in neutral or re-staved is not indicated.",wine_taster,4,46,233,5.065217391304348,10,13,6,5,5,2,36,20,9,1,4,18,3,13.927173913043482,3,56.52173913043478
"Delicate aromas recall white flower and citrus. The palate offers passion fruit, lime and white peach with a hint of mineral alongside bright acidity.",wine_taster,4,24,150,6.25,3,11,6,2,4,2,19,8,8,1,2,6,2,14.0075,0,70.83333333333334
"This wine from the Geneseo district offers aromas of sour plums and just enough cigar box to tempt the nose. The flavors are a bit flat at first, then the acidity and tension of sour cherries emerges in the midpalate, bolstered by some black licorice.",wine_taster,6,45,251,5.5777777777777775,4,14,10,5,5,2,28,21,7,3,3,20,3,16.09133333333333,3,60.0
"Aromas of prune, blackcurrant, toast and oak carry through to the extracted palate, along with flavors of black cherry and roasted coffee beans. Firm but drying tannins provide the framework.",wine_taster,6,30,191,6.366666666666666,5,11,5,4,3,2,27,8,8,2,3,10,1,16.056999999999995,0,60.0
"Oak and earth intermingle around robust aromas of wet forest floor in this vineyard-designated Pinot that hails from a high-elevation site. Small in production, it offers intense, full-bodied raspberry and blackberry steeped in smoky spice and smooth texture.",wine_taster,2,41,259,6.317073170731708,7,13,8,4,10,2,26,22,8,2,4,12,3,18.57341463414634,0,65.85365853658537
"Pretty aromas of yellow flower and stone fruit lead the nose. The bright palate offers yellow apple, apricot, vanilla and delicate notes of lightly toasted oak alongside crisp acidity.",wine_taster,7,29,184,6.344827586206897,4,12,9,3,5,2,21,12,7,2,4,6,2,15.704137931034488,2,75.86206896551724
"Aromas recall ripe dark berry, toast and a whiff of cake spice. The soft, informal palate offers sour cherry, vanilla and a hint of espresso alongside round tannins. Drink soon.",wine_taster,6,30,177,5.9,6,12,7,3,6,3,19,3,6,1,4,7,2,11.359000000000002,1,73.33333333333333
"Aromas suggest mature berry, scorched earth, animal, toast and anise. The palate offers ripe black berry, oak, espresso, cocoa and vanilla alongside dusty tannins.",wine_taster,6,24,163,6.791666666666667,8,13,4,3,4,2,18,14,7,1,3,3,1,16.558749999999996,0,83.33333333333334
"Clarksburg is becoming a haven for Chenin Blanc in California. This bottling, using fruit sourced from several vineyards in the area, is balanced with just a trace of sweetness in the background (1% residual sugar). This is crisp, straightforward and blessed with notes of pear and lime. Drink it cold.",wine_taster,3,50,302,6.04,10,13,8,9,5,4,31,4,9,4,2,23,7,13.2684,1,56.00000000000001
"Red cherry fruit comes laced with light tannins, giving this bright wine an open, juicy character.",wine_taster,4,16,98,6.125,3,5,4,3,5,1,19,19,5,3,5,3,1,15.418749999999996,0,81.25
"Merlot and Nero d'Avola form the base for this easy red wine that would pair with fettuccine and meat sauce or pork roast. The quality of the fruit is clean, bright and sharp.",wine_taster,2,34,175,5.147058823529412,3,10,7,4,6,2,24,12,8,3,3,13,3,11.312647058823536,0,58.82352941176471
"Part of the extended Calanìca series, this Grillo-Viognier blend shows aromas of honeysuckle and jasmine, backed by touches of cut grass and wild sage. In the mouth, it shows ripe yellow-fruit flavors.",wine_taster,4,35,201,5.742857142857143,7,13,6,3,4,2,29,12,10,2,2,11,3,14.368857142857145,0,57.14285714285714
"Rustic and dry, this has flavors of berries, currants, licorice and spices. Made from Cabernet Franc and Cabernet Sauvignon.",wine_taster,2,19,124,6.526315789473684,5,5,2,2,2,2,16,8,5,1,2,7,6,14.058947368421052,0,47.368421052631575
"This shows a tart, green gooseberry flavor that is similar to New Zealand Sauvignon Blanc. Other notes include tropical fruit, orange and honey. Unoaked, with a splash of Muscat, this has commendable dryness and acidity.",wine_taster,4,35,220,6.285714285714286,7,9,6,4,8,3,17,10,2,2,4,13,8,14.009047619047621,0,60.0
"As with many of the Erath 2010 vineyard designates, this is strongly herbal. The notes of leaf and herb create somewhat unripe flavor impressions, with a touch of bitterness on the finish. The fruit just passes the ripeness of sweet tomatoes.",wine_taster,5,41,242,5.902439024390244,5,13,8,3,4,3,21,10,8,1,1,18,3,13.203821138211381,3,56.09756097560976
"White flower, lychee and apple aromas carry the mellow bouquet. The chunky-feeling palate bears powdery, sweet flavors of peach and melon, mixed with greener notes of grass and lime. The 80% Viognier component is typical of the warm climate: plump and oily, with a short finish. Chardonnay fills out the blend.",wine_taster,6,52,310,5.961538461538462,11,18,10,6,10,4,24,6,8,3,3,17,5,13.148846153846158,1,67.3076923076923
"This concentrated Cabernet offers aromas of cured meat, dried fruit and rosemary. Barbecue spice and teriyaki sauce flavors give the wine a bold, chewy feel.",wine_taster,4,25,157,6.28,4,10,5,7,1,2,15,14,7,3,0,6,3,14.398800000000001,0,72.0
"Inky in color, this wine has plump aromas of ripe fruit, blackberry jam and rum cake. On the palate, it is soft and smooth.",wine_taster,5,24,123,5.125,5,9,5,2,5,2,19,10,8,1,3,10,1,8.708749999999998,0,66.66666666666666
"Part of the natural wine movement, this wine is made from organic grapes, and the label is printed with vegetable ink on recycled paper. The quality of fruit is very nice, with a juicy palate and a bright berry flavor on the finish.",wine_taster,6,43,232,5.395348837209302,5,15,10,5,6,2,27,21,9,4,3,20,2,14.732093023255814,1,62.7906976744186
"Catarratto is one of Sicily's most widely farmed white grape varieties. This expression shows a mineral note, backed by citrus and almond blossom touches.",wine_taster,0,25,154,6.16,3,10,4,3,2,2,15,13,7,2,0,7,2,13.833599999999997,2,68.0
"A stiff, tannic wine, this slowly opens and brings brambly berry flavors into play, along with notes of earthy herbs. There's a touch of bitterness to the tannins.",wine_taster,3,29,163,5.620689655172414,5,9,4,3,3,2,24,10,6,2,3,10,0,12.293448275862069,3,62.06896551724138
"This is a festive wine, with soft, ripe fruit and acidity, plus a red berry flavor.",wine_taster,5,16,83,5.1875,4,5,3,1,4,1,20,20,5,1,4,6,1,11.003125000000004,0,62.5
"The clean, brisk mouthfeel gives this slightly oaked Sauvignon Blanc instant likeability. It's dry with a rich streak of honey that sweetens the citrus, pear and tropical fruit flavors. Pair this with Asian fare, ham or a green salad with grapefruit sections.",wine_taster,3,43,259,6.023255813953488,6,14,8,4,9,3,20,14,6,2,4,13,4,14.106201550387595,1,65.11627906976744
"A berry aroma comes with cola and herb notes. The palate is tangy and racy, and it delivers raspberry and plum flavors, with a modest finish.",wine_taster,4,26,141,5.423076923076923,4,10,5,3,3,2,20,10,5,2,3,11,1,10.612692307692306,0,61.53846153846154
"Right out of the starting blocks this is an oaky wine, dripping with caramel and vanilla notes. The texture on the midpalate is finessed and graceful, with drying tannins that latch onto the oak-driven finish. An eccentric blend of 50% Tannat, 35% Petit Verdot and 15% Pinotage.",wine_taster,6,48,278,5.791666666666667,10,15,10,6,5,3,22,17,5,4,3,19,6,13.848750000000003,1,56.25
"Spicy, fresh and clean, this would pair with fried seafood or spaghetti con vongole. It offers pretty citrus tones followed by a drying mineral nuance.",wine_taster,0,25,151,6.04,4,8,4,6,4,2,17,12,4,3,3,7,1,13.2684,0,72.0
"This is a sweet wine with flavors of white sugar, orange, honey and vanilla, all brightened by crisp acidity.",wine_taster,5,19,109,5.7368421052631575,4,7,3,2,3,1,23,23,7,2,3,8,1,15.090526315789468,0,63.1578947368421
"This bottling resembles the New Zealand paradigm of Sauvignon Blanc, bearing aromas of grapefruit, passion fruit and kiwi; a sprinkling of graham cracker adds interest. The wine hits the palate like a fleshy fist, with an intense, grassy gooseberry flavor that provides plenty of punch. Pair with apricot-glazed roasted chicken.",wine_taster,6,51,328,6.431372549019608,9,21,11,6,5,3,29,8,11,3,0,15,7,17.361764705882358,0,62.745098039215684
"Soft and fruity, this is a generous, ripe wine that's full of juicy red-cherry fruits and gentle tannins. It has some richness, giving a sweet character to this open, ready-to-drink wine.",wine_taster,6,35,187,5.3428571428571425,9,8,6,5,11,2,24,20,5,2,8,12,1,12.484857142857145,0,68.57142857142857
"This blend of Nero d'Avola and Syrah opens with savory aromas of cured meat, dried berry, cassis, tobacco and wet earth. There's a touch of almond bitterness on the finish.",wine_taster,2,32,172,5.375,5,12,8,4,1,2,25,11,8,3,1,10,3,11.886249999999997,1,56.25
"This is much different than Casa Silva's 2009 Petit Verdot, which was tasted in the same flight. The '08 is more hard, spicy and tarry, with a leafy, herbal aroma, plus some grittiness. The palate feels snappy, with a can't-miss saltiness. The finish is long in length but short on fruit, with a raw feel.",wine_taster,3,58,305,5.258620689655173,13,10,8,7,9,4,22,12,3,1,4,25,7,10.588103448275866,4,51.724137931034484
"This shows jelly-like flavors of orange and pear, with some earthy tones. The mouthfeel is soft and there's a bounty of oak in the form of buttered toast and caramel notes.",wine_taster,4,33,172,5.212121212121212,4,10,7,3,5,2,21,16,6,2,3,14,2,11.369090909090907,2,60.60606060606061
"Aromas of cranberry, barrel spice and herb are followed by tart cranberry flavors with grainy tannins. It falls a bit flat and the variety seems hard to discern.",wine_taster,2,28,161,5.75,3,7,4,5,6,2,18,13,5,2,4,10,0,12.652499999999996,0,64.28571428571429
"Syrupy and dense, this wine is jammy in plum and vanilla, with indeterminate structure and plenty of oak. Ripe and full-bodied, it has accents of graphite and leather.",wine_taster,4,29,167,5.758620689655173,6,9,2,3,6,2,21,14,6,2,3,13,2,12.943103448275863,0,62.06896551724138
This densely hued wine has aromas of black plum and vanilla that carry over to the simple palate along with a touch of cedar. Pliant tannins give it an easygoing nature. Drink soon.,wine_taster,6,33,181,5.484848484848484,3,9,6,4,6,3,25,3,7,2,4,13,3,9.903636363636362,2,63.63636363636363
"The aromas are brooding, with notes of barrel spice and cherry. The flavors are tart and elegant in style, with lightly gritty tannins backing them up. Best suited to the dinner table.",wine_taster,4,32,184,5.75,5,10,5,5,3,3,17,7,3,2,3,13,3,10.985833333333332,2,62.5
"This fat, yeasty Champagne is comprised predominantly of Pinot Noir. It has ripe red berry fruit, light acidity and a soft, creamy aftertaste. It's ready to drink.",wine_taster,5,28,163,5.821428571428571,6,5,5,6,5,3,16,6,4,2,4,8,4,10.655595238095238,1,60.71428571428571
"There are intriguing touches to the nose of this bottling, with jasmine, sea salt, wet hay, quinine and rainy sidewalk. The structure on the sip is quite delicate, with golden apple and honey flavors.",wine_taster,1,34,200,5.882352941176471,7,14,9,2,5,2,25,16,9,1,3,14,2,14.775882352941174,2,67.64705882352942
"From the warm 2015 vintage, this is a soft and fruity wine. It's open with broad white fruit flavors, the acidity lighter than usual for Chablis, giving it a particularly ripe character. Drink now.",wine_taster,6,35,197,5.628571428571429,6,7,5,4,8,3,24,3,4,2,6,12,3,10.913904761904767,2,60.0
"This soft, rounded wine is ripe with generous pear and melon flavors. It's easy and ready to drink young for its smooth, attractively ripe character.",wine_taster,5,26,149,5.730769230769231,4,5,4,3,10,2,16,14,1,2,6,8,1,12.061923076923073,1,73.07692307692307
"A blend of Merlot and Cabernet Franc, this wine brings disjointed lightly volatile aromas of wood spice, vanilla and cherry. The plump cherry flavors are rounded out by woody barrel notes.",wine_taster,7,31,188,6.064516129032258,4,12,7,4,2,2,23,12,7,2,1,10,4,14.883870967741935,1,61.29032258064516
"Very deep in color and spicy-smoky in flavor, this full-bodied wine is packed with dark-fruit flavors like blackberry and blueberry. Aromas like grilled beef and spicy flavors like cardamom and smoke give it a bold character that's hard to deny.",wine_taster,9,44,245,5.568181818181818,6,14,4,6,8,2,28,22,7,3,4,13,1,15.796136363636364,2,68.18181818181817
"This cooperative, based in Aÿ, has benefited from the fine Pinot Noir in the village to produce a ripe red fruited wine. With balanced acidity and a soft aftertaste, it is ready to drink.",wine_taster,4,34,187,5.5,5,5,6,7,6,2,25,14,3,5,3,15,4,12.975000000000001,0,52.94117647058824
"Aromas of vanilla, char and toast lead to light creamy stone fruit and canned-corn flavors. It provides appeal but the oak seems overweighted.",wine_taster,6,24,142,5.916666666666667,4,10,3,4,2,2,19,9,8,1,2,7,0,12.4375,0,66.66666666666666
"Big oak defines this robustly dense and extracted red, swimming in vanilla and cherry flavor. Full-bodied and gravelly in texture, it's a rustically pleasant wine for pizza nights and crowds.",wine_taster,5,32,191,5.96875,5,10,4,4,5,2,20,17,5,1,3,9,1,14.682812500000004,3,68.75
"Aromas of black-skinned fruit, leather, underbrush, game and a briny note all carry over to the lean, somewhat disjointed palate along with suggestions of licorice and raw red cherry. Grainy tannins leave a drying finish.",wine_taster,6,36,221,6.138888888888889,7,10,6,3,8,2,36,7,8,1,8,11,1,16.484166666666667,1,61.111111111111114
"Juicy plum, raspberry and pencil lead lead the way in this vineyard designate, a site that's 2,000 feet high. Tobacco and cedar meet a full-bodied hit of oak and puckering tannin, the wine still youthfully wrapped in its full-bodied boldness.",wine_taster,2,44,242,5.5,7,15,9,5,8,2,27,23,7,3,4,12,2,15.475000000000001,3,70.45454545454545
This is the producer's first release of this wine. Fruity aromas of plum and tart cranberry add to its overall sense of lightness and understatement.,wine_taster,2,26,149,5.730769230769231,2,10,5,2,4,2,17,11,7,1,3,11,2,12.061923076923073,0,61.53846153846154
"This is made from equal parts Cabernet Franc and Merlot, with small additions of Malbec. Juicy, it reveals a raisiny quality of ripeness around integrated oak and generous tannin.",wine_taster,1,29,179,6.172413793103448,4,6,5,3,5,2,17,16,2,2,2,10,6,14.892068965517247,0,48.275862068965516
"Earthy pollen and mineral notes lend a savory tone to this medium-sweet Riesling. It's soft and slightly pulpy, intensified by overripe tangerine and stone fruit flavors. Drink now through 2018.",wine_taster,5,32,194,6.0625,5,10,5,4,5,3,16,5,6,2,1,9,3,12.457708333333336,2,65.625
"This medium-bodied Chardonnay features aromas of pineapple and roasted cashew. Similar notes of ripe pineapple and nuts mark the palate, then ease to a rather soft, easy finish. Drink now.",wine_taster,6,31,188,6.064516129032258,6,9,6,4,6,3,21,3,5,2,4,9,4,12.300537634408599,3,70.96774193548387
"Some rosés are made simply by bleeding the juice from the fermenter, to concentrate the remaining wine. Whether or not that is the case here, the wine has the simple pleasant lightly candied strawberry flavors one might expect from such a technique. It's fruity and undemanding. Drink up.",wine_taster,4,50,288,5.76,6,11,8,13,2,4,27,3,6,5,2,20,3,11.949599999999997,4,60.0
"Grown on the sandy soil of Tejo, the wine is typically soft and open. It is very accessible—with black fruits and light tannins for this grape. It is ready to drink.",wine_taster,4,32,165,5.15625,5,6,5,5,6,3,16,6,2,2,3,15,2,8.189270833333332,2,59.375
"Caramelized oak and vanilla aromas are front and center on a barrel-heavy nose. This feels a bit choppy, with astringent tannins. Herbal salty plum flavors wear a lot of oaky makeup, while this finishes with a forced woody flavor.",wine_taster,5,40,230,5.75,6,14,7,5,8,3,20,10,6,2,4,14,3,12.319166666666668,0,67.5
"Bland, mature aromas of white fruits are on the weak side for Albariño. This feels round and oily, while briny leesy flavors lack pop and precision. A grabby aged finish is short on the free flow that this grape and region are known for. Drink immediately or wait for a newer vintage.",wine_taster,4,53,284,5.3584905660377355,6,12,8,8,10,4,19,9,4,3,4,20,3,10.433490566037733,2,60.37735849056604
"This fruity, sweet wine is immediately attractive and ripe. With its great apricot and pineapple fruit, hints of spicy wood and balancing acidity, it's perfect as an apéritif—light and refreshing. Drink now.",wine_taster,7,35,207,5.914285714285715,7,10,5,4,8,3,27,3,8,2,5,11,3,12.259619047619047,2,68.57142857142857
"Pale copper in hue, this wine exudes passion fruit on the nose, while the palate delivers nuances of muskmelon as well. It's crisp, racy and medium in body, perfectly suited to summertime refreshment. Drink now.",wine_taster,4,36,211,5.861111111111111,7,13,4,5,3,3,24,3,9,2,1,11,2,12.175833333333337,4,69.44444444444444
"A healthy addition of 13% Petite Sirah provides added weight and intensity to this wine, a soft, supple and richly conceived combination of smoky black fruit and mocha.",wine_taster,3,28,168,6.0,4,8,6,3,5,1,32,32,8,3,5,9,2,20.83,1,60.71428571428571
"Pronounced dust, pollen and earth tones lend savoriness to this otherwise citrusy wine. Racy acidity and fresh tangerine and lemon flavors turn herbal on the finish. Drink now.",wine_taster,5,28,176,6.285714285714286,4,12,6,3,4,3,15,3,7,1,1,7,3,12.84238095238095,2,75.0
"Vibrant aromas of ripe pear, white flowers and melon are followed by a just off-dry palate, with lean fruit flavors.",wine_taster,6,21,116,5.523809523809524,4,7,5,2,5,1,25,25,7,2,5,7,1,15.087142857142858,2,76.19047619047619
"Softened tannins surround a light-bodied, lean and herbal approach to this vineyard-designate, dotted in black pepper, leather and baked cherry.",wine_taster,3,22,144,6.545454545454546,6,6,4,3,7,1,28,28,6,3,7,6,1,20.39909090909091,0,72.72727272727273
"Subdued aromas of French oak, toast and acacia waft out of the glass. The rather lean palate offers oak-driven spice, chopped herb and a hint of citrus set against racy acidity. It's rather shy on fruit richness.",wine_taster,6,39,212,5.435897435897436,6,15,10,5,5,3,22,8,7,4,2,11,3,10.673076923076927,2,69.23076923076923
"Made primarily from Sangiovese, with some Malvasia and other white grapes, this offers aromas of red berry and a yeasty whiff of bread dough. The bright, enjoyable palate offers ripe cherry and hint of pastry cream while a note of honeydew melon marks the close.",wine_taster,4,45,262,5.822222222222222,5,16,10,4,6,2,27,23,7,2,3,17,4,17.242666666666665,1,60.0
"This blend of Sangiovese, Malbec, Cabernet Sauvignon, Petite Sirah and other varieties plays well to type. It shows a wealth of ripe, dusty black fruit that's richly round and soft on the palate, approachable and lightly oaked.",wine_taster,4,38,227,5.973684210526316,7,5,7,5,8,2,25,20,3,3,7,12,7,16.20605263157895,3,55.26315789473685
"This wine has a touch of perceptible sweetness on its tropical nose, yet tastes dry, showing a straightforward approach to this crisp, coastal-grown variety. Apricot, melon and guava wrap around a lightness of body and texture.",wine_taster,2,37,227,6.135135135135135,7,13,8,3,7,2,30,14,7,3,7,13,1,16.71648648648648,0,62.16216216216216
"All red Bordeaux varieties are represented in this blend, except for Petit Verdot. Together, they offer a simple tannic structure that strengthens a chewiness of leather, tobacco and a touch of cedar. Full bodied, it's a ripe, bold and brawny wine.",wine_taster,2,42,248,5.904761904761905,8,9,7,5,9,3,22,13,6,2,3,15,5,13.381428571428572,1,57.14285714285714
"Freshness characterizes the nose: green pear, ivy leaves and citrus notes play on nose and palate. This is light footed, easy drinking and charming. Drink soon while flavors are fresh.",wine_taster,5,30,184,6.133333333333334,6,10,4,5,6,3,19,7,8,2,1,9,3,12.458000000000006,1,73.33333333333333
"Barrel notes are prominent, with aromas of Creamsicle and baking spice. The palate is broad and dry with stone-fruit and barrel flavors. It provides intrigue but the wood seems to get in the way at times.",wine_taster,6,37,204,5.513513513513513,5,13,6,5,3,3,15,13,4,3,0,16,3,10.70531531531531,0,56.75675675675676
"This is a dense wine, packed with both tannins and acidity. It brings out the ageworthiness of this appellation with its rich potential and dark mineral texture. Drink this concentrated cru wine from 2018.",wine_taster,4,34,205,6.029411764705882,4,9,6,4,6,3,17,8,4,1,4,16,2,12.63519607843137,0,55.88235294117647
"The wine comes from one of the cru estates followed by this negociant house. It is a light, ripe and fruity wine. With its attractive red-berry flavors, finished with crisp acidity, it is accessible and ready to drink.",wine_taster,7,39,218,5.589743589743589,7,10,6,6,8,3,21,10,3,3,6,17,2,11.397692307692303,0,61.53846153846154
A wisp of bramble extends a savory tone from nose to finish on this otherwise bright bristling wine. Delicate honey tones register as off dry on the palate but balance neatly alongside flavors of freshly pressed apples and pears. The finish is marked by a touch of pencil lead. Drink now through 2020.,wine_taster,7,53,301,5.679245283018868,4,15,7,8,5,4,22,5,7,2,2,21,3,11.944245283018866,5,62.264150943396224
"Forest floor, menthol, espresso, cranberry and pressed violet aromas take shape in the glass. The lean linear palate shows dried sour cherry, licorice and coffee bean alongside assertive close-grained tannins. Even though the tannins are still firm, drink sooner rather than later to capture the remaining fruit.",wine_taster,5,48,312,6.5,9,17,8,9,5,3,20,18,7,3,3,10,3,17.184999999999995,6,77.08333333333334
"This blends 20% each of all five red-Bordeaux varieties, showing grapy, plummy flavor that's juicy and soft on the palate. With a core of tobacco, tar and graphite, it complements the fruity with the savory, ending simply and elegantly.",wine_taster,2,41,236,5.7560975609756095,9,11,6,5,5,2,27,23,5,3,5,16,2,15.93121951219512,2,56.09756097560976
"Fresh apple, lemon and pear flavors are accented by a hint of smoked nuts in this bold, full-bodied Pinot Gris. Rich and a bit creamy in mouthfeel yet balanced briskly, it's a satisfying white with wide pairing appeal. Drink now through 2019.",wine_taster,2,44,242,5.5,7,10,5,7,7,3,25,5,6,3,4,14,5,11.808333333333337,2,59.09090909090909
"Dusty mineral, smoke and struck flint lend a savory tone to this lean light-bodied Riesling. Off dry in style, the palate offers delicately concentrated flavors of red apple and nectarine off set by tangerine acidity. Drink now through 2021.",wine_taster,6,40,241,6.025,6,10,7,6,8,3,22,5,6,3,3,13,4,13.61441666666667,3,67.5
Intensely smoky tones of struck flint and ash extend throughout this otherwise bright nimble Riesling. The palate boasts freshly pressed apple and pear flavors accentuated by zippy lemon-lime acidity. Drink now through 2021.,wine_taster,4,34,224,6.588235294117647,4,10,6,6,4,3,17,5,7,3,1,8,3,15.267254901960783,4,70.58823529411765
